exam,year,subject,paper_number,display_title,pdf_url,archive_page_url,exam_body,source_status,content_verification,verified_on
CSS Competitive Examination,2026,Zoology,,Zoology Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/zoology-2026.pdf,https://cssaspirants.pk/css-past-papers/zoology/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Urdu Literature,,Urdu Literature Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/urdu-literature-2026.pdf,https://cssaspirants.pk/css-past-papers/urdu-literature/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Town Planning & Urban Management,,Town Planning and Urban Management Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/town-planning-urban-management-2026.pdf,https://cssaspirants.pk/css-past-papers/town-planning-urban-management/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Statistics,,Statistics Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/statistics-2026.pdf,https://cssaspirants.pk/css-past-papers/statistics/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Sociology,,Sociology Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/sociology-2026.pdf,https://cssaspirants.pk/css-past-papers/sociology/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Sindhi,,Sindhi Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/sindhi-2026.pdf,https://cssaspirants.pk/css-past-papers/sindhi/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Pure Mathematics,,Pure Mathematics Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/pure-mathematics-2026.pdf,https://cssaspirants.pk/css-past-papers/pure-mathematics/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Punjabi,,Punjabi Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/punjabi-2026.pdf,https://cssaspirants.pk/css-past-papers/punjabi/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Public Administration,,Public Administration Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/public-administration-2026.pdf,https://cssaspirants.pk/css-past-papers/public-administration/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Psychology,,Psychology Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/psychology-2026.pdf,https://cssaspirants.pk/css-past-papers/psychology/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Political Science,,Political Science Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/political-science-2026.pdf,https://cssaspirants.pk/css-past-papers/political-science/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Physics,,Physics Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/physics-2026.pdf,https://cssaspirants.pk/css-past-papers/physics/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Philosophy,,Philosophy Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/philosophy-2026.pdf,https://cssaspirants.pk/css-past-papers/philosophy/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Pashto,,Pashto Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/pashto-2026.pdf,https://cssaspirants.pk/css-past-papers/pashto/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Pakistan Affairs,,Pakistan Affairs Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/pakistan-affairs-2026.pdf,https://cssaspirants.pk/css-past-papers/pakistan-affairs/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Muslim Law & Jurisprudence,,Muslim Law and Jurisprudence Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/muslim-law-jurisprudence-2026.pdf,https://cssaspirants.pk/css-past-papers/muslim-law-jurisprudence/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Mercantile Law,,Mercantile Law Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/mercantile-law-2026.pdf,https://cssaspirants.pk/css-past-papers/mercantile-law/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Journalism & Mass Communication,,Journalism and Mass Communication Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/journalism-mass-communication-2026.pdf,https://cssaspirants.pk/css-past-papers/journalism-mass-communication/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Islamic Studies,,Islamic Studies Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/islamic-studies-2026.pdf,https://cssaspirants.pk/css-past-papers/islamic-studies/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Islamic History & Culture,,Islamic History and Culture Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/islamic-history-culture-2026.pdf,https://cssaspirants.pk/css-past-papers/islamic-history-culture/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,International Relations,,International Relations Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/international-relations-2026.pdf,https://cssaspirants.pk/css-past-papers/international-relations/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,International Law,,International Law Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/international-law-2026.pdf,https://cssaspirants.pk/css-past-papers/international-law/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,History of USA,,History of USA Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/history-usa-2026.pdf,https://cssaspirants.pk/css-past-papers/history-of-usa/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,History of Pakistan & India,,History of Pakistan and India Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/history-pakistan-india-2026.pdf,https://cssaspirants.pk/css-past-papers/history-of-pakistan-india/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Governance & Public Policies,,Governance and Public Policies Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/governance-public-policies-2026.pdf,https://cssaspirants.pk/css-past-papers/governance-public-policies/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Geology,,Geology Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/geology-2026.pdf,https://cssaspirants.pk/css-past-papers/geology/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Geography,,Geography Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/geography-2026.pdf,https://cssaspirants.pk/css-past-papers/geography/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,General Science & Ability,,General Science and Ability Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/general-science-ability-2026.pdf,https://cssaspirants.pk/css-past-papers/general-science-ability/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Gender Studies,,Gender Studies Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/gender-studies-2026.pdf,https://cssaspirants.pk/css-past-papers/gender-studies/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,European History,,European History Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/european-history-2026.pdf,https://cssaspirants.pk/css-past-papers/european-history/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,Environmental Sciences,,Environmental Sciences Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/environmental-sciences-2026.pdf,https://cssaspirants.pk/css-past-papers/environmental-sciences/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,English Literature,,English Literature Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/english-literature-2026.pdf,https://cssaspirants.pk/css-past-papers/english-literature/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
CSS Competitive Examination,2026,English Essay,,English Essay Past Paper 2026,https://cssaspirants.pk/wp-content/uploads/2026/07/english-essay-2026.pdf,https://cssaspirants.pk/css-past-papers/english-essay/,Federal Public Service Commission (FPSC),third_party_hosted_exam_paper,link_and_title_verified; PDF content not republished,2026-07-16
