code,subject,category,optional_group,marks,paper_count,paper_duration_hours,official_syllabus_url,source_status,verified_on
1,English Essay,compulsory,,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
2,English (Precis and Composition),compulsory,,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
3,General Science & Ability,compulsory,,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
4,Current Affairs,compulsory,,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
5,Pakistan Affairs,compulsory,,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
6,Islamic Studies OR Comparative Study of Major Religions (for non-Muslims),compulsory,,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
11,Accountancy & Auditing,optional,I,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
12,Economics,optional,I,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
13,Computer Science,optional,I,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
14,Political Science,optional,I,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
15,International Relations,optional,I,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
16,Physics,optional,II,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
17,Chemistry,optional,II,200,2,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
18,Applied Mathematics,optional,II,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
19,Pure Mathematics,optional,II,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
20,Statistics,optional,II,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
21,Geology,optional,II,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
22,Business Administration,optional,III,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
23,Public Administration,optional,III,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
24,Governance & Public Policies,optional,III,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
25,Town Planning & Urban Management,optional,III,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
26,History of Pakistan & India,optional,IV,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
27,Islamic History & Culture,optional,IV,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
28,British History,optional,IV,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
29,European History,optional,IV,100,1,3,https://www.fpsc.gov.pk/uploads/syllabus/1767002683737_Syllabus-for-CE-2016-and-onwards.pdf,official_fpsc,2026-07-16
